digitSpan,digits,digitsReverse,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,digitLoopPracticeBS.thisRepN,digitLoopPracticeBS.thisTrialN,digitLoopPracticeBS.thisN,digitLoopPracticeBS.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,fixation.stopped,presentation_text.started,presentation_text.stopped,digitsForTrial,recall_txt.started,textbox.started,cont_button.started,mouse_3.started,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,feedback_text.started,feedback_text.stopped,roundTransition.started,moveToBS.started,moveToBS.keys,moveToBS.rt,BSGenInsText.started,startBSprac.started,startBSprac.keys,startBSprac.rt,fixation_3.started,pres_text_practice_2.started,fixation_3.stopped,pres_text_practice_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,5,,,,,,,,,0,4,4,4,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9470731249894,100.9472585409967,100.9472585409967,101.94730474999233,"[3, 6, 7, 2, 5, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,5,,,,,,,,,0,4,4,4,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.94730474999233,102.94737116599572,102.94737116599572,103.94738770800177,"[3, 6, 7, 2, 5, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,5,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,103.94738770800177,103.94738770800177,103.94738770800177,-0.00021875000675208867,3672541,-0.005555555555555556,-0.4033333333333333,1,0,0,cont_button,108.64740183299,109.6477637909993,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6477637909993,110.64769941598934,110.64769941598934,111.6479486659955,"[8, 3, 9, 2, 6, 5, 1, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6479486659955,112.64809795799374,112.63118762499653,113.63221912499284,"[8, 3, 9, 2, 6, 5, 1, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.64842800000042,114.64792237499205,114.64792237499205,115.64808495799662,"[8, 3, 9, 2, 6, 5, 1, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.64808495799662,116.64795487499214,116.6315002499905,117.63105933299812,"[8, 3, 9, 2, 6, 5, 1, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.63105933299812,118.63141258299584,118.64849037499516,119.6482805830019,"[8, 3, 9, 2, 6, 5, 1, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.6482805830019,120.64832024999487,120.64832024999487,121.64812579099089,"[8, 3, 9, 2, 6, 5, 1, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.64812579099089,122.648144915991,122.63151995799853,123.63217137499305,"[8, 3, 9, 2, 6, 5, 1, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.63217137499305,124.63151812499564,124.64825745800044,125.64876945799915,"[8, 3, 9, 2, 6, 5, 1, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,6,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,125.64876945799915,125.64876945799915,125.64876945799915,-0.0005076670058770105,83926514,0.0,-0.41333333333333333,1,0,0,cont_button,133.76530370800174,134.7651532500022,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,7,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7651532500022,135.76526037498843,135.7485088329995,136.74887624999974,"[5, 7, 9, 3, 2, 6, 8, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,7,,,,,,,,,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.74887624999974,137.74874904099852,137.7653542499902,138.7653665409889,"[5, 7, 9, 3, 2, 6, 8, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,7,,,,,,,,,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7653665409889,139.76545574999182,139.74881774999085,140.74900858299225,"[5, 7, 9, 3, 2, 6, 8, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,7,,,,,,,,,0,6,6,6,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.7658204999898,141.7652092079952,141.7652092079952,142.76541783299763,"[5, 7, 9, 3, 2, 6, 8, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,7,,,,,,,,,0,6,6,6,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.76541783299763,143.76537529099733,143.7487958749989,144.74892149999505,"[5, 7, 9, 3, 2, 6, 8, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,7,,,,,,,,,0,6,6,6,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.74892149999505,145.74898495800153,145.74898495800153,146.7488911249966,"[5, 7, 9, 3, 2, 6, 8, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,7,,,,,,,,,0,6,6,6,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.76562554099655,147.7661372500006,147.74934312498954,148.7489894159953,"[5, 7, 9, 3, 2, 6, 8, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
