digitSpan,digits,digitsReverse,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,digitLoopPracticeBS.thisRepN,digitLoopPracticeBS.thisTrialN,digitLoopPracticeBS.thisN,digitLoopPracticeBS.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,presentation_text.started,fixation.stopped,presentation_text.stopped,digitsForTrial,recall_txt.started,textbox.started,cont_button.started,mouse_3.started,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,feedback_text.started,feedback_text.stopped,roundTransition.started,moveToBS.started,moveToBS.keys,moveToBS.rt,BSGenInsText.started,startBSprac.started,startBSprac.keys,startBSprac.rt,fixation_3.started,pres_text_practice_2.started,fixation_3.stopped,pres_text_practice_2.stopped,recall_txtPractice_2.started,textboxPractice_2.started,cont_buttonPractice_2.started,mousePractice_2.started,textboxPractice_2.text,participant,date,expName,psychopyVersion,frameRate,
,,,4,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7640612499963,126.7635642499954,126.7635642499954,127.76357787499728,"[7, 8, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,4,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.76357787499728,128.7637082500005,128.7637082500005,129.76421537500573,"[7, 8, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,4,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,129.76421537500573,129.76421537500573,129.76421537500573,-0.00014237500727176666,56789,-0.06222222222222222,-0.4033333333333333,1,0,0,cont_button,131.34770524999476,132.3469227089954,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,5,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3469227089954,133.33075845900748,133.3470767090039,134.3303279170068,"[8, 5, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,5,,,,,,,,,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.3303279170068,135.33054129200173,135.33054129200173,136.33118991700758,"[8, 5, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,5,,,,,,,,,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.33118991700758,137.33073258399963,137.33073258399963,138.3306067920057,"[8, 5, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,5,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,138.3306067920057,138.3306067920057,138.3306067920057,-0.000484500007587485,45678,-0.06222222222222222,-0.4033333333333333,1,0,0,cont_button,141.26401566699496,142.26411437500792,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,6,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.26411437500792,143.2483632920048,143.26482566700724,144.24758066699724,"[9, 4, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,6,,,,,,,,,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.26426837500185,145.26420083400444,145.26420083400444,146.264302459007,"[9, 4, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,6,,,,,,,,,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.264302459007,147.26466995899682,147.26466995899682,148.26532037500874,"[9, 4, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
