,subID,riskyGain,riskyLoss,safe,RT,round_earnings,curr_goal,curr_bonus,loc,response,choice,outcome,iti,itiExtra,cond,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM,roundColor,ischecktrial
43,005,10.73,0.0,6.63,1.5335312499664724,311.34000000000003,349.85,25,2,"[['v', 1.5335312499664724]]",0,6.63,0.75,2.4664687500335276,0,274.02343416697113,[],275.5628741669934,276.06862666696543,277.0697045419947,42,1,1,0
44,005,10.68,0.0,10.68,1.1080059580272064,322.02000000000004,349.85,25,2,"[['v', 1.1080059580272064]]",0,10.68,1.25,2.8919940419727936,0,280.274518124992,[],281.38567233399954,281.8913643750129,282.8925220000092,43,1,1,1
45,005,20.53,0.0,7.73,1.475500624976121,342.55000000000007,349.85,25,1,"[['v', 1.475500624976121]]",1,20.53,0.75,2.524499375023879,0,287.02410358400084,[],288.50545583397616,289.0114565420081,290.01254645898007,44,1,1,0
46,005,16.0,0.0,4.0,1.2714556249557063,346.55000000000007,349.85,25,1,"[['n', 1.2714556249557063]]",0,4.0,0.75,2.7285443750442937,0,293.2751284589758,[],294.55224404198816,295.05806008400396,296.0591765840072,45,1,1,0
47,005,16.26,0.0,9.87,1.1211375829880126,356.4200000000001,349.85,25,2,"[['v', 1.1211375829880126]]",0,9.87,0.75,2.8788624170119874,0,299.5263506670017,[],300.65294816700043,301.15881533396896,302.15995754196774,46,1,1,0
48,005,10.35,0.0,0.0,1.0802349169971421,356.4200000000001,349.85,25,1,"[['v', 1.0802349169971421]]",1,0.0,0.75,2.919765083002858,0,305.77553174999775,[],306.8590049169725,307.3635448749992,308.36468670901377,47,1,1,1
49,005,12.36,0.0,5.82,1.2990160830086097,368.7800000000001,349.85,25,1,"[['v', 1.2990160830086097]]",1,12.36,0.75,2.7009839169913903,0,312.02491216699127,[],313.33143154199934,313.83739345899085,314.83851733396295,48,1,1,0
50,005,17.0,0.0,9.5,1.2159985830076039,385.7800000000001,349.85,25,2,"[['n', 1.2159985830076039]]",1,17.0,1.25,2.784001416992396,0,318.2776309999754,[],319.49903508397983,320.0049974169815,321.0061027499614,49,1,1,0
51,005,15.47,0.0,10.27,1.6418690420105122,10.27,420.79,100,1,"[['n', 1.6418690420105122]]",0,10.27,1.25,2.358130957989488,3,0.014957374951336533,[],1.6627980409539305,2.169085457979236,3.170206832990516,0,2,0,0
52,005,17.59,0.0,9.2,1.344555167015642,27.86,420.79,100,2,"[['n', 1.344555167015642]]",1,17.59,0.75,2.655444832984358,3,6.776486332993954,[],8.126924749987666,8.63347924995469,9.634551832976285,1,2,0,0
53,005,14.72,0.0,4.64,1.670639999967534,42.58,420.79,100,2,"[['n', 1.670639999967534]]",1,14.72,0.75,2.329360000032466,3,13.020622749987524,[],14.697156749956775,15.204524082946591,16.205590415978804,2,2,0,0
54,005,10.95,0.0,6.53,1.4021592079661787,49.11,420.79,100,2,"[['v', 1.4021592079661787]]",0,6.53,1.25,2.5978407920338213,3,19.26898541598348,[],20.67685516597703,21.18254424998304,22.18369679094758,3,2,0,0
55,005,10.55,0.0,6.73,1.4862283340189606,55.84,420.79,100,2,"[['v', 1.4862283340189606]]",0,6.73,0.75,2.5137716659810394,3,26.02015441597905,[],27.512250040948857,28.017917207966093,29.019058457983192,4,2,0,0
56,005,16.0,0.0,4.0,1.5516417500330135,71.84,420.79,100,2,"[['n', 1.5516417500330135]]",1,16.0,1.25,2.4483582499669865,3,32.27062899997691,[],33.82808141596615,34.33397774997866,35.335076582967304,5,2,0,0
57,005,17.73,0.0,3.13,1.5825701670255512,71.84,420.79,100,1,"[['v', 1.5825701670255512]]",1,0.0,1.25,2.417429832974449,3,39.01997033297084,[],40.60833579098107,41.11300891597057,42.114108540990856,6,2,0,0
58,005,16.6,0.0,9.7,1.6382567499531433,81.54,420.79,100,1,"[['n', 1.6382567499531433]]",0,9.7,1.25,2.3617432500468567,3,45.76926970796194,[],47.41348679095972,47.91917999996804,48.920271582959685,7,2,0,0
59,005,11.2,0.0,6.4,1.7323979579959996,81.54,420.79,100,1,"[['v', 1.7323979579959996]]",1,0.0,0.75,2.2676020420040004,3,52.519987874955405,[],54.25843679095851,54.76455616595922,55.76567349996185,8,2,0,0
60,005,25.2,0.0,5.4,1.4457367500290275,81.54,420.79,100,1,"[['v', 1.4457367500290275]]",1,0.0,1.25,2.5542632499709725,3,58.77087374997791,[],60.225464040995575,60.73014904098818,61.73128149996046,9,2,0,0
61,005,13.94,0.0,5.03,1.5148106660344638,81.54,420.79,100,2,"[['n', 1.5148106660344638]]",1,0.0,1.25,2.485189333965536,3,65.51950187498005,[],67.0423990409472,67.54703545797383,68.54814912495203,10,2,0,0
